Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr3R	30912596	0.335111	5.94325	1.28232	promoter-TSS	Ptx1
chr3R	30928804	0.524146	8.94608	0.551432	intron	lncRNA:CR44041
chr3R	30946614	0.111415	1.86621	1.35598	Intergenic	CG15550
chr3R	30953734	0.0538997	13.5984	1.43207	Intergenic	CG15548
chr3R	30978094	0.201342	11.583	2.95711	intron	lncRNA:CR46116
chr3R	31004757	0.0522057	13.1183	1.02443	intron	lncRNA:CR46117
chr3R	31006483	0.026654	12.4523	0.659739	intron	5-HT7
chr3R	31007484	0.000753383	9.40001	4.24652	intron	5-HT7
chr3R	31016939	0.128908	14.2896	0.967647	promoter-TSS	5-HT7
chr3R	31048994	0.276684	8.13344	4.43488	promoter-TSS	Alp4
chr3R	31053945	0.746864	10.3006	1.09059	promoter-TSS	Chchd3
chr3R	31059266	0.359405	14.1806	0.612511	intron	dco
chr3R	31061086	0.177242	6.58098	1.52644	promoter-TSS	dco
chr3R	31062518	1.54678	18.7366	0.661072	Intergenic	dco
chr3R	31066978	0.158699	10.9234	0.552683	intron	Sox100B
chr3R	31068321	1.35962	10.0274	4.19504	intron	Sox100B
chr3R	31071586	1.23019	3.84781	0.779931	intron	Sox100B
chr3R	31086593	0.561722	14.1227	0.128573	Intergenic	CG11317
chr3R	31097364	0.0489376	17.7074	0.587601	promoter-TSS	CG11317
chr3R	31120020	0.0278459	15.4162	1.12422	Intergenic	Prosalpha3T
chr3R	31127580	0.0231279	7.76979	9.09604	TTS	CG15554
chr3R	31134353	1.3083	14.0596	1.74118	promoter-TSS	Gycbeta100B
chr3R	31147136	1.68848	14.0954	0.426429	intron	Gycbeta100B
chr3R	31147572	0.438167	13.1217	0.563616	intron	Gycbeta100B
chr3R	31151758	0.808813	11.3147	1.10359	exon	stops
chr3R	31156091	0.280878	16.6655	0.35053	intron	stops
chr3R	31168835	1.32583	14.8501	3.78915	promoter-TSS	stops
chr3R	31187916	0.253399	16.3862	1.01685	intron	bnk
chr3R	31191081	0.29058	15.4448	0.91344	intron	bnk
chr3R	31196997	1.66018	7.03969	10.96	promoter-TSS	CG1544
chr3R	31203199	0.233655	12.0023	0.348157	TTS	CG1544
chr3R	31213426	0.430227	8.75808	0.239547	promoter-TSS	CG1542
chr3R	31216091	0.704319	5.07827	0.706165	promoter-TSS	CG15561
chr3R	31219513	0.39007	3.6051	1.88602	promoter-TSS	ATPsynC
chr3R	31221107	0.231847	5.00977	1.19848	5'UTR	CG12054
chr3R	31221370	0.388292	8.22443	0.977337	exon	CG12054
chr3R	31221614	0.67189	9.62241	0.835784	intron	CG12054
chr3R	31222885	0.363466	14.3084	0.865543	intron	CG12054
chr3R	31224640	0.949893	15.726	0.14172	promoter-TSS	CG12054
chr3R	31227442	0.792402	7.73429	0.301411	exon	CG12054
chr3R	31230552	0.417074	4.31789	0.177938	3'UTR	CG15563
chr3R	31230951	0.698478	2.4078	0.17579	TTS	CG15563
chr3R	31231183	0.265396	4.03415	1.5535	TTS	CG15563
chr3R	31237548	0.74289	10.0118	0.376216	intron	CG15564
chr3R	31240820	0.357344	9.86212	1.15192	intron	CG15564
chr3R	31246026	0.375914	9.05049	2.85247	intron	qless
chr3R	31248196	0.54535	16.3777	1.08617	intron	qless
chr3R	31250841	0.376489	9.12839	0.686464	intron	qless
chr3R	31252614	0.0539899	8.55404	0.725621	promoter-TSS	qless
chr3R	31255048	0.507829	1.73418	0.298107	promoter-TSS	spn-F
chr3R	31264057	0.39284	14.285	0.0186344	TTS	CAH5
chr3R	31268850	0.11236	10.0558	0.845433	TTS	ppk24
chr3R	31273379	0.783637	13.5024	0.337473	Intergenic	ppk24
chr3R	31276018	0.274277	11.4019	1.63144	Intergenic	ppk24
chr3R	31276922	0.21083	10.9994	0.654655	Intergenic	ppk24
chr3R	31277431	0.270704	9.41506	0.401764	Intergenic	ppk24
chr3R	31278162	0.306485	9.33111	0.379488	Intergenic	ppk24
chr3R	31278778	0.447059	8.55929	1.03236	Intergenic	ppk24
chr3R	31286276	0.367192	9.47308	0.343054	Intergenic	pHCl-2
chr3R	31286516	0.541514	8.92015	0.735839	Intergenic	pHCl-2
chr3R	31287623	0.5455	0.0972565	0.400709	Intergenic	pHCl-2
chr3R	31287957	0.423234	8.16979	0.683489	Intergenic	pHCl-2
chr3R	31290402	0.42748	12.2641	0.71419	Intergenic	pHCl-2
chr3R	31291260	0.355778	11.9928	0.936498	Intergenic	pHCl-2
chr3R	31291849	0.35028	9.68394	2.2834	Intergenic	pHCl-2
chr3R	31292785	0.184696	12.1205	0.788853	Intergenic	pHCl-2
chr3R	31293248	0.512354	12.1492	0.913719	Intergenic	pHCl-2
chr3R	31294507	1.28073	14.4203	0.738253	Intergenic	pHCl-2
chr3R	31296217	0.287148	5.78584	1.48622	Intergenic	pHCl-2
chr3R	31296655	0.325344	7.26559	2.58421	Intergenic	pHCl-2
chr3R	31297250	1.07799	12.7237	1.44801	Intergenic	pHCl-2
chr3R	31297800	1.19174	12.4078	0.595169	Intergenic	pHCl-2
chr3R	31298270	0.845279	6.7784	0.759966	Intergenic	pHCl-2
chr3R	31298965	0.922482	8.11755	0.803139	Intergenic	pHCl-2
chr3R	31301300	1.80274	10.4687	0.668154	3'UTR	pHCl-2
chr3R	31301796	1.23863	12.6455	1.32796	TTS	pHCl-2
chr3R	31302402	1.03663	8.66415	1.04871	TTS	pHCl-2
chr3R	31305602	0.253065	7.56969	1.62586	promoter-TSS	pHCl-2
chr3R	31308932	0.103239	15.4667	1.34388	Intergenic	CG34347
chr3R	31310934	0.21999	6.07132	2.29009	promoter-TSS	CG34347
chr3R	31311245	0.204887	11.611	1.30863	promoter-TSS	CG34347
chr3R	31320448	0.612703	15.0517	1.98794	intron	CG34347
chr3R	31321318	0.838981	15.4269	0.568166	intron	CG34347
chr3R	31322625	0.350266	8.18525	2.01847	intron	CG34347
chr3R	31323884	0.956161	2.66778	0.474853	intron	CG34347
chr3R	31324765	0.955181	0.997888	0.956059	intron	CG34347
chr3R	31325123	1.04082	1.22918	0.91321	intron	CG34347
chr3R	31325337	0.63316	1.38963	1.077	intron	CG34347
chr3R	31327262	0.71824	7.75184	5.92334	intron	CG34347
chr3R	31327626	0.573972	5.19336	6.26114	intron	CG34347
chr3R	31327949	0.320607	5.3719	7.68406	intron	CG34347
chr3R	31329971	1.96715	16.9344	0.173833	intron	lncRNA:CR46118
chr3R	31336170	0.0864086	8.72653	1.62646	intron	lncRNA:CR46118
chr3R	31337272	2.48427	9.10725	0.724171	intron	lncRNA:CR46118
chr3R	31340965	0.166966	12.1691	1.266	intron	lncRNA:CR46118
chr3R	31342738	0.286304	9.20014	0.855233	intron	lncRNA:CR46118
chr3R	31344255	0.456715	8.42411	1.63107	promoter-TSS	lncRNA:CR46118
chr3R	31346828	1.1749	8.81727	4.7786	intron	lncRNA:CR46118
chr3R	31347128	1.15123	9.35877	3.84829	intron	lncRNA:CR46118
chr3R	31347404	1.23157	8.28761	6.816	intron	lncRNA:CR46118
chr3R	31350203	0.751834	6.78573	2.28166	intron	lncRNA:CR46118
chr3R	31352403	0.504268	7.24209	1.16712	intron	lncRNA:CR46118
chr3R	31352605	0.820077	6.46765	0.940457	intron	lncRNA:CR46118
chr3R	31353070	0.515172	6.37682	1.47867	intron	lncRNA:CR46118
chr3R	31353819	1.023	3.1822	0.449443	intron	lncRNA:CR46118
chr3R	31358644	0.401268	9.07598	1.32985	intron	lncRNA:CR46118
chr3R	31362320	0.546601	1.67115	0.220791	exon	gskt
chr3R	31365296	0.0307635	8.02422	4.85728	intron	gskt
chr3R	31370434	0.935367	12.8137	0.537214	3'UTR	gskt
chr3R	31370815	0.741861	11.2916	1.45153	3'UTR	gskt
chr3R	31381288	1.03295	12.7123	2.04699	promoter-TSS	CG1607
chr3R	31381664	0.371675	14.5194	2.03253	promoter-TSS	CG1607
chr3R	31384195	0.539961	10.4639	7.39479	promoter-TSS	CG1607
chr3R	31391238	0.218422	4.47523	2.29429	TTS	CG31204
chr3R	31392028	0.274243	7.43891	1.20092	TTS	CG31204
chr3R	31404982	0.275233	2.79149	0.759686	promoter-TSS	PNPase
chr3R	31405336	1.09492	5.65461	0.406245	promoter-TSS	Gprk2
chr3R	31409761	1.1658	18.754	0.679282	intron	PNPase
chr3R	31410957	0.266698	0.945229	1.50758	intron	PNPase
chr3R	31411263	0.478612	4.67261	1.29194	intron	PNPase
chr3R	31412479	0.591763	6.28894	4.27454	intron	PNPase
chr3R	31418790	0.0749578	10.8009	2.80156	intron	PNPase
chr3R	31419776	0.525999	1.5097	0.962382	intron	PNPase
chr3R	31420201	0.239259	4.24233	1.22179	intron	PNPase
chr3R	31420806	0.286539	3.79283	0.731998	intron	PNPase
chr3R	31421342	0.466218	3.98074	1.95751	intron	PNPase
chr3R	31422202	0.364786	6.92996	2.21052	intron	PNPase
chr3R	31424914	1.26627	9.15623	0.998652	intron	PNPase
chr3R	31425179	1.1838	8.89074	0.597608	intron	PNPase
chr3R	31425574	3.00382	10.4054	0.965646	intron	PNPase
chr3R	31428458	0.470435	12.0412	0.405808	intron	PNPase
chr3R	31429336	0.175489	8.39764	2.68411	intron	PNPase
chr3R	31430173	0.614939	12.5474	1.33622	intron	PNPase
chr3R	31431773	0.679011	11.9716	0.821969	intron	PNPase
chr3R	31432569	0.918189	12.8755	0.599702	intron	PNPase
chr3R	31432823	1.57899	15.2287	0.312789	intron	Loxl1
chr3R	31436082	0.236462	2.79404	1.88049	intron	Loxl1
chr3R	31436963	0.570194	5.76514	0.735048	intron	Loxl1
chr3R	31440256	0.23392	8.24487	12.966	intron	Loxl1
chr3R	31440566	0.267952	8.1968	10.4347	intron	Loxl1
chr3R	31442976	0.304701	6.21642	6.70547	intron	Loxl1
chr3R	31444077	0.909614	2.50322	12.881	intron	Loxl1
chr3R	31444502	0.588111	6.06503	13.9777	intron	Loxl1
chr3R	31447134	0.440737	18.8613	0.0784046	intron	Loxl1
chr3R	31447769	0.27249	16.3133	0.627745	intron	Loxl1
chr3R	31449708	0.292602	13.8836	1.56231	intron	Loxl1
chr3R	31454083	0.263237	15.2873	0.0836372	exon	Loxl1
chr3R	31454449	0.0289948	10.4897	1.09044	exon	Loxl1
chr3R	31455904	0.738101	11.846	0.495567	exon	Loxl1
chr3R	31458739	1.55764	0.85706	1.3662	TTS	Loxl1
chr3R	31462900	0.322799	2.71485	0.558723	promoter-TSS	CG11334
chr3R	31468233	1.18121	12.7226	0.849628	promoter-TSS	lncRNA:CR45554
chr3R	31468819	0.480136	14.2923	0.75254	promoter-TSS	lncRNA:CR45554
chr3R	31470168	0.41482	14.7995	0.377945	TTS	lncRNA:CR45554
chr3R	31470873	0.284744	12.6761	1.41792	TTS	lncRNA:CR45554
chr3R	31471236	0.227601	11.0389	0.961485	Intergenic	lncRNA:CR45555
chr3R	31473287	0.515867	9.42408	0.923972	non-coding	lncRNA:CR45555
chr3R	31476240	0.0758161	9.83332	1.66526	Intergenic	lncRNA:CR45555
chr3R	31481432	0.483611	10.8477	0.658632	Intergenic	lncRNA:CR45555
chr3R	31485400	0.648112	10.6197	1.65165	Intergenic	lncRNA:CR45572
chr3R	31485769	0.972101	10.9111	0.806581	Intergenic	lncRNA:CR45572
chr3R	31487326	0.468194	12.8062	0.299035	Intergenic	lncRNA:CR45572
chr3R	31492276	0.806103	9.4031	0.650869	non-coding	lncRNA:CR45572
chr3R	31493258	0.316617	10.1487	1.4951	TTS	lncRNA:CR45572
chr3R	31499176	0.96936	15.927	0.714152	promoter-TSS	mey
chr3R	31501107	0.689693	10.747	1.2641	intron	mey
chr3R	31504055	1.32243	15.0132	0.362271	exon	mey
chr3R	31504992	0.956734	18.028	0.676865	exon	mey
chr3R	31505686	0.256311	17.0263	2.48544	intron	mey
chr3R	31506161	0.642147	15.5368	0.689987	intron	mey
chr3R	31508346	0.427813	13.3032	2.80329	Intergenic	mey
chr3R	31509438	0.556033	10.8517	1.06008	Intergenic	mey
chr3R	31510222	0.0203406	11.8741	2.38342	Intergenic	mey
chr3R	31512531	0.740479	9.72807	1.77218	Intergenic	lncRNA:CR45573
chr3R	31512853	0.590547	9.14643	1.24345	Intergenic	lncRNA:CR45573
chr3R	31514893	0.259683	13.2095	1.55281	Intergenic	lncRNA:CR45573
chr3R	31515714	1.19174	15.21	0.0396343	Intergenic	lncRNA:CR45573
chr3R	31519416	0.545535	12.0081	0.593326	TTS	lncRNA:CR45573
chr3R	31524833	0.477137	10.5491	0.626473	Intergenic	lncRNA:CR45573
chr3R	31525085	0.387574	11.7579	1.24397	Intergenic	lncRNA:CR45573
chr3R	31525914	0.169443	10.4679	1.09115	Intergenic	lncRNA:CR45573
chr3R	31526231	0.660931	9.52019	1.56652	Intergenic	lncRNA:CR45573
chr3R	31527403	0.216293	6.82665	1.93834	Intergenic	lncRNA:CR45573
chr3R	31527627	0.167332	7.97491	3.18949	Intergenic	lncRNA:CR45573
chr3R	31528050	0.0859989	16.591	0.514618	Intergenic	lncRNA:CR45573
chr3R	31530220	0.428008	6.68964	2.01862	Intergenic	lncRNA:CR45573
chr3R	31531894	0.707232	9.31954	0.266226	Intergenic	lncRNA:CR45573
chr3R	31537888	0.932308	9.24691	1.00614	Intergenic	nyo
chr3R	31539730	0.16663	13.5281	1.11986	Intergenic	nyo
chr3R	31540664	0.17496	12.5496	3.69011	Intergenic	nyo
chr3R	31543012	0.060299	17.8367	0.752081	promoter-TSS	nyo
chr3R	31546481	0.103306	15.8646	2.13241	intron	nyo
chr3R	31548574	0.539576	9.31932	2.78459	intron	nyo
chr3R	31548811	0.367192	9.43951	3.16726	intron	nyo
chr3R	31550135	0.646842	15.641	0.442991	intron	nyo
chr3R	31550558	0.588976	15.4394	2.70782	intron	nyo
chr3R	31554492	0.504821	10.597	1.68159	intron	nyo
chr3R	31556185	0.698866	14.5921	0.303203	intron	lncRNA:CR46120
chr3R	31559224	0.502085	17.0488	1.01347	intron	lncRNA:CR46120
chr3R	31559958	0.40129	14.8322	1.18472	intron	lncRNA:CR46120
chr3R	31564244	0.502922	16.1947	0.435572	intron	lncRNA:CR46120
chr3R	31566709	0.71951	8.41864	0.287466	TTS	lncRNA:CR46120
chr3R	31572175	0.473284	4.69215	0.598942	promoter-TSS	gammaCOP
chr3R	31575349	0.245334	7.32226	0.8198	TTS	gammaCOP
chr3R	31580603	0.182404	2.74122	0.32447	promoter-TSS	pygo
chr3R	31584741	0.573972	15.0697	0.585537	exon	rod
chr3R	31588556	0.528624	11.5996	2.25885	promoter-TSS	CG1635
chr3R	31592744	0.055301	14.3258	0.572969	promoter-TSS	CG1774
chr3R	31594230	0.22668	8.11432	1.30689	TTS	CG1774
chr3R	31596313	0.260683	4.28464	0.91802	promoter-TSS	RpL6
chr3R	31600056	0.326718	9.05157	0.183584	intron	RpL6
chr3R	31601973	0.467368	5.90438	1.48905	exon	RpL6
chr3R	31602329	0.253616	4.40901	0.398332	5'UTR	RpL6
chr3R	31602567	0.0932132	3.65711	1.4107	5'UTR	RpL6
chr3R	31602939	0.157565	6.92176	1.7006	5'UTR	RpL6
chr3R	31607001	0.72952	13.8536	3.39673	intron	CycG
chr3R	31608894	0.485413	0.331543	0.804053	intron	CycG
chr3R	31609306	0.251992	1.15754	1.17103	intron	CycG
chr3R	31609691	0.135212	0.540311	0.935437	5'UTR	CycG
chr3R	31610894	0.387574	1.10995	0.956518	promoter-TSS	CycG
chr3R	31611153	0.40912	3.55565	0.532429	promoter-TSS	Med
chr3R	31616197	3.33146	4.96827	0.134851	promoter-TSS	CG11539
chr3R	31617984	0.656075	6.03686	0.619232	promoter-TSS	pasha
chr3R	31622077	1.94716	15.2492	1.00606	promoter-TSS	kek6
chr3R	31627222	0.398879	3.88485	3.43292	intron	kek6
chr3R	31627472	0.712751	4.82134	3.29262	intron	kek6
chr3R	31630987	0.50777	15.283	0.711078	intron	kek6
chr3R	31632749	0.180746	11.3476	1.21991	intron	kek6
chr3R	31635294	0.71679	11.2903	2.07483	intron	kek6
chr3R	31636240	1.06108	14.8583	0.564098	intron	kek6
chr3R	31637384	0.770654	16.279	0.127225	intron	kek6
chr3R	31639517	0.741853	11.6902	0.78394	intron	kek6
chr3R	31644453	0.207296	15.3134	0.917465	intron	kek6
chr3R	31645306	0.0979751	11.7351	3.17345	intron	kek6
chr3R	31652749	1.42488	14.0024	0.470536	intron	CG1815
chr3R	31654448	0.129864	12.14	1.70017	intron	CG1815
chr3R	31663082	0.976469	7.16725	5.77382	3'UTR	CG1815
chr3R	31665800	0.0617131	10.0302	2.73135	Intergenic	CG1815
chr3R	31669570	0.140084	7.22991	1.24207	5'UTR	CG1815
chr3R	31673024	0.91019	12.8186	5.38599	intron	CG1815
chr3R	31678008	0.142599	9.08498	2.3465	TTS	CG11550
chr3R	31678791	0.525129	7.52242	0.802056	TTS	CG11550
chr3R	31680058	0.41934	15.6875	2.31916	promoter-TSS	CG11550
chr3R	31681168	0.543116	17.6486	0.813435	promoter-TSS	lncRNA:CR44091
chr3R	31682601	0.615511	17.876	0.825098	Intergenic	lncRNA:CR44091
chr3R	31687216	0.653067	15.3627	0.46835	TTS	lncRNA:CR45564
chr3R	31689392	0.94097	19.4554	0.40028	promoter-TSS	lncRNA:CR45565
chr3R	31690404	0.546413	14.2678	0.944943	promoter-TSS	lncRNA:CR45565
chr3R	31698388	1.53466	18.6762	0.93356	Intergenic	lncRNA:CR45052
chr3R	31699100	1.19179	19.4619	0.0196611	Intergenic	lncRNA:CR45052
chr3R	31702080	0.933839	19.6651	0.306709	Intergenic	lncRNA:CR45052
chr3R	31707561	0.318537	10.0991	1.84161	TTS	CG42693
chr3R	31709305	1.26317	16.8976	1.4456	promoter-TSS	lncRNA:CR34046
chr3R	31713634	0.852041	17.3005	0.548079	promoter-TSS	ttk
chr3R	31715643	0.70427	17.691	0.513928	intron	ttk
chr3R	31717480	0.582462	13.3536	0.960898	intron	ttk
chr3R	31717750	0.107759	14.4883	0.904944	intron	ttk
chr3R	31721960	0.735895	8.86909	0.302002	intron	ttk
chr3R	31723811	0.396141	13.5251	1.38832	intron	ttk
chr3R	31724911	1.05138	18.2864	0.471661	promoter-TSS	ttk
chr3R	31725372	1.36906	20.1092	0.328251	promoter-TSS	ttk
chr3R	31734947	0.10656	11.5763	1.24827	TTS	CstF50
chr3R	31735720	0.456243	12.9922	0.380718	TTS	CstF50
chr3R	31736922	0.292116	3.6	1.1869	promoter-TSS	CstF50
chr3R	31738706	0.0923795	15.9093	1.66227	promoter-TSS	eEF1alpha2
chr3R	31739411	0.0918155	17.5594	1.1963	promoter-TSS	eEF1alpha2
chr3R	31743633	0.100705	6.86333	0.512092	promoter-TSS	CG1890
chr3R	31745875	0.660467	9.1926	0.525274	promoter-TSS	awd
chr3R	31747829	0.571555	4.52943	0.462942	promoter-TSS	CG1910
chr3R	31748166	0.839353	5.95194	0.563888	promoter-TSS	CG1910
chr3R	31753554	4.6405	8.92166	0.514163	promoter-TSS	mir-1014
chr3R	31758814	0.452362	9.53452	2.46628	promoter-TSS	lncRNA:CR44263
chr3R	31762854	0.545175	8.9336	0.6088	TTS	Smvt
chr3R	31764966	1.27894	12.362	1.56369	promoter-TSS	CG2150
chr3R	31765977	0.680308	12.1547	1.41948	Intergenic	CG2150
chr3R	31766730	0.842958	9.2873	0.560243	TTS	lncRNA:CR43436
chr3R	31766988	1.38134	9.79212	0.16001	promoter-TSS	lncRNA:CR43436
chr3R	31767840	0.725945	11.3599	3.25635	promoter-TSS	lncRNA:CR43436
chr3R	31772034	0.260608	3.45343	0.878088	promoter-TSS	sip3
chr3R	31777146	0.560146	0.720136	0.619026	promoter-TSS	faf
chr3R	31777818	0.554015	9.81723	1.01794	intron	faf
chr3R	31794253	0.512002	5.54607	0.497987	promoter-TSS	Acf
chr3R	31801171	0.104454	6.81378	0.898757	exon	Ir100a
chr3R	31805447	0.746265	11.8509	2.22518	promoter-TSS	CG1971
chr3R	31809868	0.267538	13.2798	1.34431	TTS	Rift
chr3R	31810118	0.334336	10.1578	1.94174	promoter-TSS	Rift
chr3R	31810333	0.170749	2.43431	1.73796	promoter-TSS	Rift
chr3R	31812407	0.577156	1.40692	1.72311	promoter-TSS	FeCH
chr3R	31812741	0.748658	9.42687	3.94152	promoter-TSS	RhoGAP100F
chr3R	31813181	1.12519	14.9102	1.96126	promoter-TSS	RhoGAP100F
chr3R	31821620	0.688362	2.9269	5.86208	intron	RhoGAP100F
chr3R	31822495	1.83705	11.7752	1.94495	intron	RhoGAP100F
chr3R	31824527	0.362915	13.4458	1.3717	intron	RhoGAP100F
chr3R	31825769	0.324963	12.9197	2.4684	promoter-TSS	RhoGAP100F
chr3R	31837565	1.00941	5.54767	0.463217	TTS	RhoGAP100F
chr3R	31837914	0.846522	8.8577	1.03368	TTS	RhoGAP100F
chr3R	31840298	1.09856	0.474574	0.8473	exon	RhoGAP100F
chr3R	31841421	1.18227	4.72861	0.32737	exon	RhoGAP100F
chr3R	31842446	0.271003	9.09139	2.28555	3'UTR	RhoGAP100F
chr3R	31844160	0.411498	5.5378	1.41571	3'UTR	RhoGAP100F
chrX	279105	1.60226	14.7693	0.539286	promoter-TSS	ewg
chrX	279407	1.70264	12.8257	1.32251	promoter-TSS	ewg
chrX	281906	0.656584	14.6486	1.13182	intron	mir-980
chrX	289236	1.30699	7.18816	1.40545	exon	CG13375
chrX	295225	0.858977	14.193	1.1823	promoter-TSS	CG13375
chrX	306272	1.67782	11.6346	0.520982	intron	CG12470
chrX	311576	1.79206	8.25955	2.50235	intron	Or1a
chrX	312678	1.83676	11.9862	1.08922	intron	Or1a
chrX	315123	0.992325	6.48138	3.33196	promoter-TSS	Or1a
chrX	325247	0.501723	12.634	1.86115	intron	CG32816
chrX	330124	0.680711	12.6096	2.26779	intron	CG32816
chrX	334909	1.05643	14.7329	1.57554	promoter-TSS	CG32816
chrX	337020	0.669847	8.88921	1.06136	intron	CG3777
chrX	340252	1.02867	14.2709	0.626041	intron	CG3777
chrX	342644	0.658358	16.63	1.59355	promoter-TSS	CG3777
chrX	342919	0.274012	14.6526	4.48164	promoter-TSS	CG3777
chrX	345217	0.554952	9.71102	2.77767	intron	CG3777
chrX	351046	2.72462	8.86115	0.574266	TTS	CG43181
chrX	356490	0.241592	10.5123	3.11468	promoter-TSS	y
chrX	361730	1.14393	14.4201	1.9203	promoter-TSS	lncRNA:yar
chrX	364158	1.49223	14.6758	0.496846	intron	lncRNA:yar
chrX	367049	0.827236	13.8277	1.95975	TTS	ac
chrX	367304	0.623795	12.1442	2.88917	TTS	ac
chrX	369886	0.606355	14.8381	1.68335	promoter-TSS	ac
chrX	372148	1.01356	12.1918	1.2525	intron	ac
chrX	374402	0.945517	14.4056	0.42499	intron	lncRNA:CR44751
chrX	378505	0.767215	15.5792	0.74855	TTS	lncRNA:CR44751
chrX	379637	0.787609	11.3904	1.38782	intron	lncRNA:CR44751
chrX	384681	0.96377	9.50746	1.8043	promoter-TSS	lncRNA:CR44752
chrX	385027	0.757347	11.7331	1.46236	promoter-TSS	lncRNA:CR44752
chrX	385882	0.892378	12.0318	1.35027	non-coding	lncRNA:CR44752
chrX	386190	1.23487	9.7302	3.61258	TTS	lncRNA:CR44752
chrX	386841	0.866502	10.9904	4.69614	TTS	lncRNA:CR44752
chrX	390156	1.05	12.5042	2.29247	intron	lncRNA:CR44753
chrX	390553	1.01513	14.5799	0.488196	intron	lncRNA:CR44753
chrX	395967	0.318035	16.3137	1.22565	promoter-TSS	sc
chrX	405989	0.945129	9.97429	3.20758	intron	l(1)sc
chrX	406495	0.793437	9.76952	5.29113	intron	l(1)sc
chrX	421989	1.45768	14.309	0.65875	intron	CG32816
chrX	422354	0.546413	13.4251	0.973486	intron	CG32816
chrX	423678	0.710533	12.6079	1.66294	intron	CG32816
chrX	425216	1.04764	11.2505	1.84551	intron	CG32816
chrX	425728	0.827303	14.8763	0.0858011	intron	CG32816
chrX	428192	0.468194	12.1221	2.18289	promoter-TSS	CG32816
chrX	439672	0.652617	13.1117	0.850554	intron	Pgcl
chrX	441600	1.14672	14.2346	1.01898	intron	Pgcl
chrX	442448	1.01308	10.3569	1.19751	intron	Pgcl
chrX	444292	1.0122	14.2448	0.452119	intron	Pgcl
chrX	444745	1.15092	11.3998	1.00975	intron	Pgcl
chrX	445121	1.37924	11.5885	0.443235	intron	Pgcl
chrX	445369	1.06426	11.755	0.733354	intron	Pgcl
chrX	445711	1.74569	13.6837	1.39377	intron	Pgcl
chrX	446218	0.86473	14.5268	1.60305	intron	Pgcl
chrX	448456	0.715024	14.5394	2.09306	intron	Pgcl
chrX	449073	1.17283	12.9577	1.30471	intron	Pgcl
chrX	449526	0.97117	11.0821	2.30136	intron	ase
chrX	457420	0.960775	11.6829	0.766316	intron	ase
chrX	469520	1.48993	15.2616	0.137842	promoter-TSS	Cyp4g1
chrX	470789	0.614939	12.5537	0.984237	promoter-TSS	CG32816
chrX	471439	0.718846	10.9342	0.460992	promoter-TSS	CG32816
chrX	473012	0.810976	15.5975	0.545191	exon	CG32816
chrX	476457	2.32152	11.4331	1.86386	promoter-TSS	ebo
chrX	477077	0.703366	14.0801	2.04964	promoter-TSS	CG13373
chrX	479383	0.463262	9.10612	4.95959	promoter-TSS	CG32817
chrX	481900	0.796172	6.86753	4.92838	promoter-TSS	CG3176
chrX	487704	1.00133	12.4092	0.206896	promoter-TSS	CG18273
chrX	493737	0.327598	9.30706	1.27173	promoter-TSS	CG17896
chrX	494907	0.680291	14.9079	0.512092	promoter-TSS	CG17778
chrX	496581	1.29345	15.2079	0.577339	TTS	svr
chrX	499738	0.498129	16.4789	0.963524	promoter-TSS	svr
chrX	510209	0.0830356	11.7553	0.758208	exon	arg
chrX	510722	0.268672	15.1838	0.580082	3'UTR	arg
chrX	511477	0.487997	12.5637	0.272566	3'UTR	arg
chrX	513704	0.698858	6.80774	1.07394	3'UTR	arg
chrX	514031	1.01931	9.98813	1.43138	3'UTR	arg
chrX	514502	0.844096	9.5157	0.952142	3'UTR	arg
chrX	520557	0.229466	14.8155	1.59461	promoter-TSS	elav
chrX	521610	0.101421	13.7499	1.23488	5'UTR	elav
chrX	521825	0.182626	14.1989	0.672493	intron	elav
chrX	522907	0.10939	13.7355	1.87833	intron	elav
chrX	523454	0.0694383	12.0667	1.02547	promoter-TSS	elav
chrX	530067	0.0328838	7.77227	2.17502	promoter-TSS	CG4293
chrX	530742	0.368647	16.8687	1.35322	promoter-TSS	Appl
chrX	532270	0.172645	10.0823	4.61657	intron	Appl
chrX	540718	0.479273	18.0631	0.288338	intron	Appl
chrX	541973	0.439732	18.6802	0.154008	intron	Appl
chrX	546644	0.259944	12.8207	1.38203	intron	Appl
chrX	548418	0.316039	15.6331	0.0621207	intron	Appl
chrX	549044	0.332559	17.1851	0.501615	intron	Appl
chrX	569258	0.855873	15.2313	0.435802	promoter-TSS	mir-4960
chrX	570090	0.57808	14.596	0.626867	TTS	mir-4960
chrX	575136	1.34995	12.2688	0.599837	intron	mir-4960
chrX	575545	0.379687	11.0691	0.894851	exon	mir-4960
chrX	576654	0.950588	13.6802	0.443235	3'UTR	vnd
chrX	577107	0.674719	11.0194	1.22157	3'UTR	vnd
chrX	579852	0.37997	11.0804	1.57728	TTS	vnd
chrX	580706	1.40198	14.4074	0.423836	Intergenic	vnd
chrX	582256	0.172977	8.69239	1.61246	5'UTR	vnd
chrX	589208	0.284795	15.7817	0.343771	intron	vnd
chrX	590765	0.367431	15.6937	0.204438	promoter-TSS	vnd
chrX	599960	0.779938	12.547	0.582328	intron	vnd
