Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr3R 30123229 3.33947 7.195 0.709821 TTS CG45072
chr3R 30134528 0.669656 1.28484 2.14164 promoter-TSS CG45072
chr3R 30149759 1.62909 15.1445 0.881423 promoter-TSS Tpi
chr3R 30150012 1.00099 13.3582 1.05221 promoter-TSS AdoR
chr3R 30150681 0.459611 12.8127 2.6001 promoter-TSS AdoR
chr3R 30150898 0.528586 9.65439 3.10725 Intergenic AdoR
chr3R 30151656 0.19457 15.614 3.25552 Intergenic CG15529
chr3R 30152233 0.139411 10.7241 4.6788 promoter-TSS CG15529
chr3R 30154098 1.11251 8.79984 1.63053 TTS CG15529
chr3R 30157713 0.53513 7.31401 2.42982 TTS CG15529
chr3R 30158725 0.430204 13.7334 1.04107 intron CG11498
chr3R 30160524 0.485006 17.3902 2.92778 intron CG11498
chr3R 30162322 0.264287 7.30372 4.53088 promoter-TSS CG11498
chr3R 30164430 0.877337 15.4632 1.98436 Intergenic CG11498
chr3R 30166358 0.341267 21.8683 0.131395 TTS CG31030
chr3R 30171179 0.780704 22.5553 0.575053 promoter-TSS CG31030
chr3R 30171581 1.1534 19.225 3.3759 promoter-TSS CG31028
chr3R 30174903 0.469222 15.3793 1.27573 promoter-TSS CG31028
chr3R 30177628 1.54528 0.646804 0.766814 promoter-TSS Mlc2
chr3R 30180184 0.152689 7.99932 1.05795 promoter-TSS CG1983
chr3R 30181824 1.06612 16.4009 0.441842 promoter-TSS Bet5
chr3R 30189607 0.755954 13.9406 5.24683 TTS Bet5
chr3R 30191523 0.713706 21.6519 0.808186 intron CG9747
chr3R 30192891 0.62007 14.3765 2.87587 promoter-TSS CG9747
chr3R 30195760 0.33881 2.31346 20.9945 Intergenic CG9747
chr3R 30201107 0.199031 13.6783 2.94282 TTS CG15531
chr3R 30203450 0.504383 16.5898 3.37137 intron CG9743
chr3R 30206300 1.72281 10.1662 1.00921 promoter-TSS CG9743
chr3R 30207756 0.323114 2.36998 1.63951 TTS snoRNA:Psi28S-2149
chr3R 30209106 0.233323 5.11179 2.0006 promoter-TSS snoRNA:Psi18S-1377b
chr3R 30214875 0.302003 10.435 5.07611 promoter-TSS RpS7
chr3R 30215353 0.127269 6.44248 1.83359 Intergenic CecB
chr3R 30219018 1.83184 13.8746 0.705605 Intergenic CecC
chr3R 30223344 0.795675 9.77472 1.7269 Intergenic CecC
chr3R 30224170 0.386661 12.2391 2.15601 Intergenic CecC
chr3R 30224712 0.217952 11.754 3.83305 Intergenic CecC
chr3R 30225220 1.39657 13.2584 2.10688 Intergenic CecC
chr3R 30225594 1.54036 13.4323 0.537361 Intergenic CecC
chr3R 30231508 0.255944 15.2583 0.593588 Intergenic CecC
chr3R 30237302 0.414852 10.5748 0.567121 Intergenic CG43448
chr3R 30240629 1.27125 14.6992 0.89833 3'-UTR
chr3R 30243556 0.339765 19.411 2.29786 TTS CG9737
chr3R 30246224 0.68205 18.7973 0.409607 promoter-TSS CG9737
chr3R 30248650 3.94101 11.3422 0.858406 intron CG9733
chr3R 30255630 0.956345 21.359 3.32209 promoter-TSS CG34299
chr3R 30257608 0.136731 17.4795 4.31809 Intergenic CG18404
chr3R 30258491 0.442442 16.701 7.15152 Intergenic CG18404
chr3R 30259107 0.494307 17.4727 6.95695 Intergenic CG18404
chr3R 30260265 2.39855 17.6514 1.3256 Intergenic CG18404
chr3R 30262030 0.899257 18.2958 3.88829 Intergenic CG18404
chr3R 30263012 0.449935 18.3633 3.2159 Intergenic CG18404
chr3R 30264590 2.1971 10.2781 9.49669 Intergenic CG18404
chr3R 30265044 2.07389 14.849 8.11179 Intergenic lncRNA:CR46113
chr3R 30265300 1.22905 16.0464 2.45719 Intergenic lncRNA:CR46113
chr3R 30265609 0.424188 17.1549 3.04189 Intergenic lncRNA:CR46113
chr3R 30271072 0.194463 15.7415 4.36277 Intergenic lncRNA:CR46113
chr3R 30272708 0.0912988 18.537 3.01555 Intergenic lncRNA:CR46113
chr3R 30272997 0.267961 16.3986 2.57986 TTS lncRNA:CR46113
chr3R 30276738 0.207681 15.6081 6.43063 non-coding lncRNA:CR46113
chr3R 30277142 0.822623 9.20666 2.02847 Intergenic hdc
chr3R 30277496 12.3037 0.451402 3.47654 promoter-TSS hdc
chr3R 30277908 8.01129 3.77042 0.958436 promoter-TSS hdc
chr3R 30281537 1.4049 12.9095 0.998086 promoter-TSS hdc
chr3R 30282424 0.98442 15.8185 0.447661 intron hdc
chr3R 30282961 0.42406 17.0272 0.307193 intron hdc
chr3R 30284767 0.529949 17.7393 2.37664 intron hdc
chr3R 30285132 0.146013 19.5434 1.6333 intron hdc
chr3R 30287382 0.725327 20.3066 0.915679 intron hdc
chr3R 30289293 0.681636 20.3145 1.33325 intron hdc
chr3R 30290644 0.999264 17.7281 1.18839 intron hdc
chr3R 30291270 0.673029 15.4638 2.79279 intron hdc
chr3R 30293599 2.1265 8.4954 1.30103 intron hdc
chr3R 30293924 1.08572 0.317846 2.86698 intron CG34300
chr3R 30294389 0.728537 12.041 1.68841 intron CG34300
chr3R 30294986 4.06407 12.0016 3.90906 intron CG34300
chr3R 30295263 1.06983 14.0616 3.90005 intron CG34300
chr3R 30295558 0.576546 14.6246 1.88944 intron CG34300
chr3R 30296132 1.12076 8.17672 1.64026 intron CG34300
chr3R 30296476 0.186929 8.27462 1.23176 intron CG34300
chr3R 30296782 0.198808 11.3116 1.05221 intron CG34300
chr3R 30299053 0.279352 3.32919 1.21991 intron CG34300
chr3R 30300693 0.764008 10.6548 1.14481 intron CG34300
chr3R 30301997 0.921192 8.31428 0.336901 intron CG34300
chr3R 30302585 0.269047 5.19225 1.37271 intron CG34300
chr3R 30303213 0.989256 13.2917 0.181708 intron CG34300
chr3R 30305094 1.1644 13.896 1.25441 intron CG34300
chr3R 30307362 0.300528 14.1033 0.894132 TTS CG34300
chr3R 30308677 1.68437 12.1394 1.06135 promoter-TSS CG34300
chr3R 30308963 1.24935 13.8582 0.900547 intron CG34300
chr3R 30309349 0.276322 13.6205 1.52496 intron CG34300
chr3R 30309942 1.87464 7.22647 2.10357 intron CG34300
chr3R 30310477 1.15682 12.6912 2.40381 intron CG34300
chr3R 30312781 0.306965 9.62337 4.69399 intron CG34300
chr3R 30313771 0.234061 14.0677 3.34886 intron CG34300
chr3R 30314797 0.798987 11.5505 0.760561 intron CG34300
chr3R 30315566 0.747493 16.984 0.21416 intron CG34300
chr3R 30315841 0.749527 13.0137 0.764934 intron CG34300
chr3R 30316640 1.2694 17.1178 0.224867 intron CG34300
chr3R 30318272 1.40055 5.78234 1.79844 intron CG34300
chr3R 30318662 1.30778 6.40469 0.51359 intron CG34300
chr3R 30319494 1.30556 10.4388 0.923649 intron CG34300
chr3R 30325517 0.0203221 18.2427 1.25454 intron CG34300
chr3R 30325787 0.0332144 17.3493 2.00944 intron CG34300
chr3R 30326447 0.417039 16.2234 0.501637 intron CG34300
chr3R 30327901 1.36263 14.2052 1.50587 intron CG34300
chr3R 30328198 1.1175 14.9689 2.07958 intron CG34300
chr3R 30331253 0.0413227 8.41315 4.11193 intron CG34300
chr3R 30334582 1.36542 23.0702 0.357168 intron CG34300
chr3R 30335403 0.622576 14.8167 2.40303 intron hdc
chr3R 30336534 0.420408 7.94989 0.80305 intron hdc
chr3R 30338356 0.634535 19.4325 0.897116 intron hdc
chr3R 30341002 0.49295 11.9307 1.05441 intron hdc
chr3R 30341211 0.325305 11.6763 1.40606 intron hdc
chr3R 30343803 0.807214 2.78252 3.22214 intron hdc
chr3R 30344408 0.423763 10.5662 3.78646 intron hdc
chr3R 30345034 0.48356 3.94775 5.73102 intron hdc
chr3R 30345372 0.792705 1.65574 9.85191 intron hdc
chr3R 30345785 10.3114 5.41861 6.57185 intron hdc
chr3R 30346414 0.77509 6.91895 9.2476 intron hdc
chr3R 30347180 0.792662 14.1108 2.22592 intron hdc
chr3R 30350260 0.222767 9.91822 1.68355 intron hdc
chr3R 30350806 1.51059 10.9522 0.43176 intron hdc
chr3R 30351205 0.535461 9.76643 1.45938 intron hdc
chr3R 30351775 1.24195 13.1289 0.584978 intron hdc
chr3R 30354101 1.45297 14.4908 0.0678115 intron hdc
chr3R 30355173 0.883384 16.8 0.200042 intron hdc
chr3R 30356639 0.596255 13.9299 0.932292 intron hdc
chr3R 30357835 0.65356 9.62386 0.931967 TTS hdc
chr3R 30358753 0.68498 9.36404 0.623436 promoter-TSS hdc
chr3R 30358994 0.43744 10.4961 1.43821 promoter-TSS lncRNA:CR46114
chr3R 30359659 1.05897 14.2748 0.170431 promoter-TSS lncRNA:CR46114
chr3R 30360945 0.698449 10.883 0.66258 intron lncRNA:CR46114
chr3R 30364354 0.451 13.3421 0.86023 exon lncRNA:CR46114
chr3R 30364650 0.610863 12.0997 1.86589 3'-UTR
chr3R 30364926 0.813274 12.2174 0.741074 3'-UTR
chr3R 30365798 0.732314 14.1239 1.19498 3'-UTR
chr3R 30366940 0.426286 13.1718 1.14006 3'-UTR
chr3R 30367354 0.445342 10.2928 1.9853 3'-UTR
chr3R 30367767 0.651277 11.1855 1.27208 3'-UTR
chr3R 30368332 0.269476 13.8176 0.364534 3'-UTR
chr3R 30372609 1.18589 8.1746 1.05798 3'-UTR
chr3R 30372981 2.48842 10.279 1.00115 TTS lncRNA:CR46114
chr3R 30373411 1.37612 9.01685 0.402899 TTS Fer1HCH
chr3R 30375952 3.07887 10.2964 4.35705 Intergenic Fer1HCH
chr3R 30378548 2.52956 7.40322 1.80853 Intergenic Fer1HCH
chr3R 30387212 0.649879 6.68303 1.29274 Intergenic Fer1HCH
chr3R 30387631 0.566094 6.84237 1.21233 promoter-TSS Fer1HCH
chr3R 30388487 0.391291 10.2939 1.19699 promoter-TSS Fer1HCH
chr3R 30388996 0.573414 8.43499 1.04158 promoter-TSS Fer2LCH
chr3R 30397448 1.34189 9.18195 0.870221 promoter-TSS Fer2LCH
chr3R 30398468 1.22802 11.9175 0.313562 Intergenic lncRNA:CR45570
chr3R 30405612 0.075881 10.7777 1.40431 Intergenic lncRNA:CR45570
chr3R 30406591 0.134922 14.404 2.57469 TTS lncRNA:CR45570
chr3R 30419477 0.334384 9.29174 0.914517 Intergenic lncRNA:CR45570
chr3R 30423124 0.0100334 4.71547 0.882748 5'-UTR
chr3R 30423852 0.0879691 4.21145 2.36159 promoter-TSS CG2217
chr3R 30425300 0.638525 5.54593 0.875075 promoter-TSS CG15535
chr3R 30428065 0.483107 7.3267 0.683894 promoter-TSS CG15536
chr3R 30444040 1.40192 14.2504 2.17439 promoter-TSS CG2218
chr3R 30450336 0.697025 19.7101 2.03387 promoter-TSS CG15537
chr3R 30452605 0.0833911 18.4465 1.32921 promoter-TSS aralar1
chr3R 30453703 1.74477 20.6426 0.619084 intron aralar1
chr3R 30454290 4.2071 20.3619 1.15499 promoter-TSS aralar1
chr3R 30454540 3.69583 21.5168 0.189176 promoter-TSS aralar1
chr3R 30455963 0.468004 19.9709 0.522433 promoter-TSS aralar1
chr3R 30459161 0.186169 5.77111 0.489538 promoter-TSS aralar1
chr3R 30459408 1.10955 15.8375 0.207624 promoter-TSS CG2224
chr3R 30460400 0.663173 15.3243 3.37943 promoter-TSS CG2224
chr3R 30460650 0.455297 17.9965 3.29666 promoter-TSS CDase
chr3R 30461496 0.820809 16.6047 5.88397 5'-UTR
chr3R 30466210 0.355296 9.35602 1.84818 intron CDase
chr3R 30466536 0.253984 11.3645 4.22961 TTS PH4alphaEFB
chr3R 30466982 0.902085 16.7822 4.49713 TTS PH4alphaEFB
chr3R 30470249 0.589031 15.7184 0.775074 intron PH4alphaEFB
chr3R 30470850 0.699621 20.3323 1.18488 intron PH4alphaEFB
chr3R 30473363 0.7299 10.9983 3.08444 intron PH4alphaEFB
chr3R 30473862 0.314597 9.98239 0.397376 intron spdo
chr3R 30475116 0.185861 14.9574 0.670904 intron spdo
chr3R 30475488 0.332001 13.8028 0.556695 intron spdo
chr3R 30476558 0.412509 9.13807 1.0641 intron spdo
chr3R 30479866 0.510578 13.5239 0.200042 promoter-TSS spdo
chr3R 30483407 3.8127 11.0064 4.18804 intron spdo
chr3R 30485063 0.554565 14.4317 0.0645649 intron Jon99Fii
chr3R 30485518 0.392373 9.01468 0.447376 intron Jon99Fii
chr3R 30486060 0.598246 8.66406 1.42673 exon Jon99Fii
chr3R 30496591 1.38441 10.8964 2.98807 TTS Jon99Fii
chr3R 30500663 0.873648 6.44389 0.17611 promoter-TSS PH4alphaMP
chr3R 30501361 0.769543 9.01914 1.65449 promoter-TSS PH4alphaNE1
chr3R 30514494 8.71234 9.78755 1.92306 intron PH4alphaNE1
chr3R 30520497 0.441708 15.4288 1.61609 promoter-TSS CG31524
chr3R 30520829 0.507762 14.1011 3.56572 intron CG9698
chr3R 30527324 0.169276 3.98451 14.6044 intron CG9698
chr3R 30529102 11.3227 8.86625 3.18366 promoter-TSS jdp
chr3R 30532387 0.198148 17.723 1.17009 TTS lncRNA:CR45553
chr3R 30542197 5.44454 8.7932 0.892913 promoter-TSS tmod
chr3R 30545173 0.240747 16.726 0.36428 intron tmod
chr3R 30550227 0.366347 15.7324 1.32243 intron tmod
chr3R 30553948 0.13922 12.4566 2.68218 intron tmod
chr3R 30560217 0.35902 22.1196 0.120193 TTS CG34155
chr3R 30563304 0.437713 9.42505 1.02832 promoter-TSS CG34155
chr3R 30564790 0.503829 10.4079 5.88259 5'-UTR
chr3R 30567465 0.845172 14.262 2.18898 intron tmod
chr3R 30568669 0.382738 3.78341 4.30993 intron tmod
chr3R 30569321 0.791531 11.3149 1.08324 intron tmod
chr3R 30569606 0.677997 13.874 2.04769 intron tmod
chr3R 30570034 0.514625 19.2194 1.2681 intron tmod
chr3R 30570506 0.523701 21.0006 1.00791 intron tmod
chr3R 30570774 0.906555 22.1906 0.591201 promoter-TSS tmod
chr3R 30571055 0.431798 18.3126 1.50529 promoter-TSS tmod
chr3R 30574779 0.143855 15.5755 0.115147 promoter-TSS tmod
chr3R 30576158 0.249142 8.12993 0.582878 3'-UTR
chr3R 30577343 0.399586 7.66449 1.18572 3'-UTR
chr3R 30578058 0.509236 9.82259 1.06241 3'-UTR
chr3R 30578409 0.227193 8.14882 1.60924 intron CG9702
chr3R 30579288 0.27454 7.89094 2.14601 3'-UTR
chr3R 30583757 1.42194 9.59931 3.35201 promoter-TSS CG9702
chr3R 30585036 0.415786 11.3237 2.98608 promoter-TSS Rpt6R
chr3R 30591009 0.568001 9.08702 0.847845 intron Rpt6R
chr3R 30591312 0.222767 7.95817 2.88458 Intergenic CG9717
chr3R 30592293 0.801351 15.0103 1.08805 Intergenic CG9717
chr3R 30592510 0.384059 14.1704 0.775854 TTS CG2246
chr3R 30593124 0.0406519 6.73283 2.38653 TTS CG2246
chr3R 30600196 0.485753 13.4456 1.97353 TTS CG2246
chr3R 30600623 0.962049 7.20344 1.47319 TTS CG2246
chr3R 30601201 0.441681 0.79034 0.704008 promoter-TSS CG2246
chr3R 30601585 1.0534 3.07949 0.398835 promoter-TSS CG2246
chr3R 30616571 1.54945 14.7259 4.78969 promoter-TSS CG2246
chr3R 30616976 0.41946 18.0039 2.33312 Intergenic lncRNA:CR45571
chr3R 30617491 1.2109 17.1893 2.11566 Intergenic lncRNA:CR45571
chr3R 30629687 0.839083 13.9002 0.270177 Intergenic CG44954
chr3R 30642517 0.488165 8.13506 1.23807 promoter-TSS CG2267
chr3R 30648679 0.60772 17.2176 0.834652 Intergenic CG31013
chr3R 30671229 0.17242 7.65956 0.537179 promoter-TSS PH4alphaPV
chr3R 30690082 0.764628 20.5381 0.19699 Intergenic lncRNA:CR45191
chr3R 30721923 0.327748 5.26661 1.17705 promoter-TSS Spn100A
chr3R 30722934 1.13429 11.6194 0.278497 Intergenic eIF4H2
chr3R 30725817 0.430771 7.39631 0.562301 Intergenic eIF4H2
chr3R 30733755 0.959823 14.7288 1.05795 promoter-TSS eIF4H2
chr3R 30734557 0.384683 10.1156 2.13233 Intergenic CG11313
chr3R 30738884 0.513769 7.55413 2.45025 Intergenic CG11313
chr3R 30739351 0.793466 8.03256 1.42397 Intergenic CG15543
chr3R 30748324 0.812001 11.4523 3.59406 Intergenic CG15543
chr3R 30751031 0.216717 15.0726 3.01487 Intergenic lncRNA:CR43238
chr3R 30752276 0.263539 13.4351 1.22494 Intergenic lncRNA:CR43238
chr3R 30761362 3.0093 16.3268 0.348133 Intergenic lncRNA:CR43238
chr3R 30764318 5.07019 9.20147 0.77073 Intergenic zfh1
chr3R 30765675 0.786202 15.3697 0.682977 Intergenic zfh1
chr3R 30767204 0.406986 17.3885 0.826047 promoter-TSS zfh1
chr3R 30772952 1.41885 19.4382 0.40896 intron zfh1
chr3R 30782001 0.688524 13.4284 1.21227 intron zfh1
chr3R 30789562 0.416804 4.4309 2.24462 intron zfh1
chr3R 30790234 0.854843 5.02175 0.769412 TTS mir-1013
chr3R 30791170 0.592519 8.20444 0.995258 3'-UTR
chr3R 30791656 1.92335 6.0366 0.529306 TTS mir-1013
chr3R 30794895 2.81599 21.1422 0.314802 promoter-TSS mir-1013
chr3R 30795871 3.47575 8.89311 0.205139 intron mir-1013
chr3R 30796955 2.4038 10.4936 0.695711 intron mir-1013
chr3R 30800403 2.0419 10.4379 0.818962 intron mir-1013
chr3R 30804028 1.27748 15.0823 2.49618 5'-UTR
chr3R 30804381 1.73749 14.1698 1.50886 intron wts
chr3R 30806269 4.20795 4.95683 0.55566 intron wts
chr3R 30806914 6.86017 0.931857 0.984756 promoter-TSS wts
chr3R 30808718 2.84688 9.69643 0.925861 promoter-TSS dj-1beta
chr3R 30809283 1.18441 9.74993 2.50212 TTS cindr
chr3R 30811593 1.37492 16.4758 0.937894 exon cindr
chr3R 30813256 4.49333 16.9068 0.436354 intron cindr
chr3R 30814080 1.85074 13.9118 2.05291 intron cindr
chr3R 30815061 2.5007 16.0124 0.352455 intron cindr
chr3R 30815366 1.23752 10.8978 1.56842 intron cindr
chr3R 30816313 3.43186 10.8431 0.399258 intron cindr
chr3R 30819173 2.94808 11.2097 3.33065 intron cindr
chr3R 30822288 0.735131 20.6086 2.68216 intron cindr
chr3R 30827186 3.51351 10.4225 0.953921 promoter-TSS cindr
chr3R 30827751 6.13207 22.8313 0.426283 promoter-TSS CG15544
chr3R 30828622 6.09478 14.3126 2.39354 promoter-TSS CG15544
chr3R 30830698 0.279451 12.2992 14.9924 intron CG15544
chr3R 30830929 0.228581 14.1902 8.88044 intron CG15544
chr3R 30833700 0.423236 18.1953 2.1587 intron CG15544
chr3R 30839456 0.735479 17.0575 0.640921 5'-UTR
chr3R 30843085 0.0925742 20.3131 0.997905 exon CG15544
chr3R 30843331 0.113403 20.6576 1.04006 Intergenic tll
chr3R 30844802 2.4313 21.336 0.222239 Intergenic tll
chr3R 30860387 0.180746 2.02954 0.75754 Intergenic tll
chr3R 30861997 0.302596 17.84 0.267931 Intergenic Cpr100A
chr3R 30862595 0.198918 15.2916 1.93679 Intergenic Cpr100A
chr3R 30864181 0.544618 14.3527 1.82036 Intergenic Cpr100A
chr3R 30867345 0.103603 17.9408 0.809771 Intergenic Cpr100A
chr3R 30870670 0.943288 6.94615 0.86741 promoter-TSS Cpr100A
chr3R 30873202 1.41039 14.5894 0.0838995 TTS CG15545
chr3R 30874887 0.216263 11.8232 3.35007 promoter-TSS CG15545
chr3R 30876568 0.197476 12.2409 2.64859 3'-UTR
chr3R 30877321 0.00839112 13.1894 0.191065 promoter-TSS CG15546
chr3R 30877759 0.115205 7.51296 1.2134 TTS CG15546
chr3R 30880414 0.158978 19.0205 1.2526 exon CG15546
chr3R 30880713 0.396496 19.8356 0.734679 intron CG12071
chr3R 30881057 0.832746 20.2371 0.585131 intron CG12071
chr3R 30881541 0.302244 17.7493 0.760371 promoter-TSS CG12071
chr3R 30882619 0.462254 18.7931 0.0502518 promoter-TSS CG12071
chr3R 30887234 0.534219 20.8729 0.613567 TTS CG15547
chr3R 30888970 0.169999 16.1074 1.63537 intron Sap-r
chr3R 30889953 1.6931 15.761 0.393545 promoter-TSS Sap-r
chr3R 30896209 0.775978 16.3501 2.94773 promoter-TSS Sap-r
chr3R 30897720 0.681302 17.899 1.3242 intron Cyp4c3
chr3R 30898721 0.288664 17.94 1.91692 exon Cyp4c3
chr3R 30905702 0.136663 16.7067 1.82942 intron CG33483
chr3R 30909196 1.30242 15.1496 1.41495 promoter-TSS lncRNA:CR46220
chr3R 30912596 0.366999 7.48323 1.26995 Intergenic Ptx1
chr3R 30928804 0.621014 10.3248 0.489274 promoter-TSS Ptx1
chr3R 30946614 0.553878 14.3079 1.68122 intron lncRNA:CR44041
chr3R 30947805 0.0528081 7.44303 0.832805 Intergenic CG15550
chr3R 30953734 0.121359 15.7265 1.49523 Intergenic CG15550
chr3R 30978094 0.198808 14.0285 2.48517 Intergenic CG15548
chr3R 31004757 0.0300226 14.9284 1.16803 intron lncRNA:CR46116
chr3R 31006483 0.0209543 14.3886 0.749408 intron lncRNA:CR46117
chr3R 31007484 0.000345579 11.2849 3.30169 intron 5-HT7
chr3R 31016939 0.198072 17.3921 0.462365 intron 5-HT7
chr3R 31017426 0.306788 16.8338 1.50929 promoter-TSS 5-HT7
chr3R 31048994 0.415017 10.0867 4.92016 promoter-TSS 5-HT7
chr3R 31049737 2.33505 13.4985 3.14017 promoter-TSS Alp4
chr3R 31053945 0.544645 10.5291 2.14139 promoter-TSS Alp4
chr3R 31059266 0.302596 15.9148 0.95011 promoter-TSS Chchd3
chr3R 31061086 0.168075 7.84262 1.54899 intron dco
chr3R 31062518 1.36445 20.5456 1.2976 promoter-TSS dco
chr3R 31066978 0.157078 13.1468 0.536429 Intergenic dco
chr3R 31068321 1.75155 11.4497 5.70682 intron Sox100B
chr3R 31069553 0.309237 8.11699 2.00644 intron Sox100B
chr3R 31071586 1.51059 4.48057 0.86988 intron Sox100B
chr3R 31075954 2.51598 4.42125 3.8732 intron Sox100B
chr3R 31081285 6.80559 1.44828 5.47769 intron Sox100B
chr3R 31083977 1.89539 11.7222 1.17804 intron Sox100B
chr3R 31086593 0.281896 14.0863 0.534235 TTS CG11317
chr3R 31097364 0.0381136 21.1898 0.246704 Intergenic CG11317
chr3R 31102286 1.86116 14.8096 0.5811 promoter-TSS CG11317
chr3R 31120020 0.101562 17.8591 1.61917 Intergenic CG15553
chr3R 31127580 0.0347198 9.65033 10.2385 Intergenic Prosalpha3T
chr3R 31134353 1.6175 16.8035 1.58394 TTS CG15554
chr3R 31147136 2.08244 16.6709 0.298001 promoter-TSS Gycbeta100B
chr3R 31147572 0.46216 15.7142 0.468244 intron Gycbeta100B
chr3R 31151758 0.995548 13.8043 0.932004 intron Gycbeta100B
chr3R 31156091 0.270359 19.811 0.26745 exon stops
chr3R 31165370 0.670005 17.9982 0.256437 intron stops
chr3R 31168835 1.69166 17.7118 3.80209 intron stops
chr3R 31187916 0.157906 18.5607 1.34201 promoter-TSS stops
chr3R 31191081 0.239281 18.009 0.86363 intron bnk
chr3R 31196997 4.47631 8.86015 13.0617 intron bnk
chr3R 31203199 0.450448 14.3155 0.242276 promoter-TSS CG1544
chr3R 31213426 0.252615 8.40489 0.666346 TTS CG1544
chr3R 31216091 0.616175 4.29875 1.4494 promoter-TSS CG1542
chr3R 31219513 0.326817 3.1884 2.60226 promoter-TSS CG15561
chr3R 31221107 0.145584 4.38992 1.74677 promoter-TSS ATPsynC
chr3R 31221370 0.33243 9.04327 1.12991 5'-UTR
chr3R 31221614 0.617892 10.6909 1.09616 exon CG12054
chr3R 31222885 0.469388 17.2971 0.822435 intron CG12054
chr3R 31224640 0.968826 17.992 0.24992 intron CG12054
chr3R 31227442 1.02332 9.05818 0.222244 promoter-TSS CG12054
chr3R 31230552 0.464317 5.53936 0.0995991 exon CG12054
chr3R 31230951 0.803147 2.96056 0.0767572 3'-UTR
chr3R 31231183 0.228269 4.7563 1.68882 TTS CG15563
chr3R 31237548 0.994605 12.1451 0.303299 TTS CG15563
chr3R 31240820 0.360368 11.8115 1.276 intron CG15564
chr3R 31246026 0.339666 10.2384 3.75163 intron CG15564
chr3R 31248196 0.474928 18.9517 1.42714 intron qless
chr3R 31250841 0.388031 11.0573 0.575468 intron qless
chr3R 31252614 0.0217869 9.40195 1.23412 intron qless
chr3R 31255048 0.288563 0.667597 0.999421 promoter-TSS qless
chr3R 31257595 1.21095 7.39905 4.19191 promoter-TSS spn-F
chr3R 31257834 1.21888 9.13927 1.45275 promoter-TSS CAH6
chr3R 31264057 1.52765 11.0728 1.09505 exon CAH6
chr3R 31268850 0.162223 12.0676 0.931568 TTS CAH5
chr3R 31271080 1.70587 16.4338 0.453459 TTS ppk24
chr3R 31273379 0.8224 15.8324 0.212385 Intergenic ppk24
chr3R 31276018 0.250971 13.4398 1.10601 Intergenic ppk24
chr3R 31276922 0.159195 12.2742 1.00897 Intergenic ppk24
chr3R 31277431 0.286945 11.2776 0.297506 Intergenic ppk24
chr3R 31278162 0.586135 9.74727 0.64495 Intergenic ppk24
chr3R 31278778 0.498026 8.46499 2.29395 Intergenic ppk24
chr3R 31286276 0.433821 10.9822 0.41763 Intergenic ppk24
chr3R 31286516 0.484081 9.92756 0.715323 Intergenic pHCl-2
chr3R 31287623 0.689058 0.216258 0.307708 Intergenic pHCl-2
chr3R 31287957 0.737747 9.94953 0.649133 Intergenic pHCl-2
chr3R 31288699 0.0045901 8.73085 1.58281 Intergenic pHCl-2
chr3R 31290402 0.400524 14.6005 0.520603 Intergenic pHCl-2
chr3R 31291260 0.386845 14.2377 0.858965 Intergenic pHCl-2
chr3R 31291849 0.36286 11.7415 1.52132 Intergenic pHCl-2
chr3R 31292785 0.194072 14.0727 0.870447 Intergenic pHCl-2
chr3R 31293248 0.635815 14.5822 0.740291 Intergenic pHCl-2
chr3R 31294507 1.44758 15.6416 0.781286 Intergenic pHCl-2
chr3R 31296217 0.209412 5.8691 1.87207 Intergenic pHCl-2
chr3R 31296655 0.246487 7.71625 3.43807 Intergenic pHCl-2
chr3R 31297250 1.05864 13.883 1.76821 Intergenic pHCl-2
chr3R 31297800 1.27769 14.2871 0.640517 Intergenic pHCl-2
chr3R 31298270 0.77015 7.35553 1.19582 Intergenic pHCl-2
chr3R 31298965 0.64067 7.28452 2.38363 Intergenic pHCl-2
chr3R 31300302 1.12034 10.2358 1.92295 Intergenic pHCl-2
chr3R 31301300 1.53512 12.3521 0.505125 TTS pHCl-2
chr3R 31301796 1.35838 14.6383 1.51465 3'-UTR
chr3R 31302402 0.779518 9.27282 2.14328 TTS pHCl-2
chr3R 31305602 0.199732 8.87073 1.71964 TTS pHCl-2
chr3R 31308932 0.82625 17.2504 1.31907 promoter-TSS pHCl-2
chr3R 31310934 0.36437 7.44207 2.70292 Intergenic CG34347
chr3R 31311245 0.236006 13.894 1.21292 promoter-TSS CG34347
chr3R 31320448 1.14399 18.229 1.94041 promoter-TSS CG34347
chr3R 31321318 1.13151 18.2043 0.57101 intron CG34347
chr3R 31322625 0.342188 9.44016 2.30594 intron CG34347
chr3R 31323884 0.803563 2.5753 0.497593 intron CG34347
chr3R 31324765 1.90309 1.1725 1.05795 intron CG34347
chr3R 31325123 0.788963 1.13722 1.82032 intron CG34347
chr3R 31325337 0.739739 1.4625 1.34369 intron CG34347
chr3R 31327262 0.838289 9.4653 5.45904 intron CG34347
chr3R 31327626 0.711463 6.57665 6.66323 intron CG34347
chr3R 31327949 0.298812 6.83778 7.53962 intron CG34347
chr3R 31329971 2.22621 18.7331 0.450615 intron CG34347
chr3R 31331034 12.2821 3.02868 2.18808 intron lncRNA:CR46118
